state,income 2015,income 2014,income 2013,income 2012,income 2011
Maryland,75847,73971,72483,71122,70004
Hawaii,73486,69592,68020,66259,61821
Alaska,73355,71583,72237,67712,67825
NewJersey,72222,71919,70165,69667,67458
Connecticut,71346,70048,67098,67276,65753
Massachusetts,70628,69160,66768,65339,62859
NewHampshire,70303,66532,64230,63280,62647
Virginia,66262,64902,62666,61741,61882
California,64500,61933,60190,58328,57287
Washington,64129,61366,58405,57573,56835
Colorado,63909,61303,58823,56765,55387
Minnesota,63488,61481,60702,58906,56954
Utah,62912,60922,59770,57049,55869
Delaware,61255,59716,57846,58415,58814
NewYork,60850,58878,57369,56448,55246
NorthDakota,60557,59029,55759,53585,51704
Wyoming,60214,57055,58752,54901,56322
Illinois,59588,57444,56210,55137,53234
RhodeIsland,58073,54891,55902,54554,53636
Vermont,56990,54166,52578,52977,52776
Pennsylvania,55702,53234,52007,51230,50228
Texas,55653,53035,51704,50740,49392
Wisconsin,55638,52622,51467,51059,50395
Nebraska,54996,52686,51440,50723,50296
Iowa,54736,53712,52229,50957,49427
Oregon,54148,51075,50251,49161,46816
Kansas,53906,52504,50972,50241,48964
SouthDakota,53017,50979,48947,48362,48321
Nevada,52431,51450,51230,49760,48927
Maine,51494,49462,46974,46709,46033
Arizona,51492,50068,48510,47826,46709
Georgia,51244,49321,47829,47209,46007
Michigan,51084,49847,48273,46859,45981
Ohio,51075,49308,48081,46829,45749
Indiana,50532,49446,47529,46974,46438
Missouri,50238,48363,46931,45321,45247
Montana,49509,46328,46972,45076,44222
Florida,49426,47463,46036,45040,44299
Oklahoma,48568,47529,45690,44312,43225
Idaho,48275,47861,46783,45489,43341
NorthCarolina,47830,46556,45906,45150,43916
Tennessee,47275,44361,44297,42764,41693
SouthCarolina,47238,45238,44163,43107,42367
Louisiana,45727,44555,44164,42944,41734
NewMexico,45382,44803,43872,42558,41963
Kentucky,45215,42958,43399,41724,41141
Alabama,44765,42830,42849,41574,41415
WestVirginia,42019,41059,41253,40196,38482
Arkansas,41995,41262,40511,40112,38758
Mississippi,40593,39680,37963,37095,36919
